source_id,entry_time_utc,action,root,strike,option_right,expiry_date,quantity,fill_price,net_pnl,fees,status,opra_code
HTML_9201146657285512594,2025-09-08 14:27:00,SELL,XSP,651.0,C,2025-09-08,3.0,0.27,81.0,0.12,FILLED,O:XSP250908C00651000
HTML_8255071859202818210,2025-09-09 13:39:00,BUY,XSP,649.0,P,2025-09-09,6.0,0.59,-357.25,0.25,FILLED,O:XSP250909P00649000
HTML_1123831271338476155,2025-09-09 13:45:00,BUY,XSP,652.0,C,2025-09-09,4.0,0.29,-118.16,0.16,FILLED,O:XSP250909C00652000
HTML_4376763820812700160,2025-09-09 13:46:00,SELL,XSP,649.0,P,2025-09-09,6.0,0.67,402.0,0.25,FILLED,O:XSP250909P00649000
HTML_6606819524610346483,2025-09-09 13:55:00,BUY,XSP,653.0,C,2025-09-09,2.0,0.09,-17.08,0.08,FILLED,O:XSP250909C00653000
HTML_475378994021565924,2025-09-09 14:00:00,SELL,XSP,652.0,C,2025-09-09,4.0,0.33,132.0,0.16,FILLED,O:XSP250909C00652000
HTML_1102846783280197671,2025-09-09 14:00:00,SELL,XSP,653.0,C,2025-09-09,2.0,0.12,24.0,0.08,FILLED,O:XSP250909C00653000
HTML_9106039273859252806,2025-09-10 13:42:00,BUY,XSP,656.0,C,2025-09-10,2.0,0.26,-51.08,0.08,FILLED,O:XSP250910C00656000
HTML_6364223306337487229,2025-09-10 13:45:00,BUY,XSP,653.0,P,2025-09-10,7.0,0.56,-395.8,0.3,FILLED,O:XSP250910P00653000
HTML_6066993249834654390,2025-09-10 13:46:00,BUY,XSP,655.0,C,2025-09-10,1.0,0.68,-67.54,0.04,FILLED,O:XSP250910C00655000
HTML_5425845980239801153,2025-09-10 13:47:00,BUY,XSP,656.0,C,2025-09-10,1.0,0.32,-31.54,0.04,FILLED,O:XSP250910C00656000
HTML_2252391081109153558,2025-09-10 13:49:00,SELL,XSP,656.0,C,2025-09-10,3.0,0.36,108.0,0.12,FILLED,O:XSP250910C00656000
HTML_3430931673227010473,2025-09-10 13:50:00,SELL,XSP,655.0,C,2025-09-10,1.0,0.75,75.0,0.04,FILLED,O:XSP250910C00655000
HTML_1929915631733862768,2025-09-10 15:18:00,SELL,XSP,653.0,P,2025-09-10,7.0,0.56,392.0,0.3,FILLED,O:XSP250910P00653000
HTML_3633452182638834033,2025-09-11 13:46:00,BUY,XSP,656.0,C,2025-09-11,3.0,0.68,-202.62,0.12,FILLED,O:XSP250911C00656000
HTML_7469572182307373268,2025-09-11 13:50:00,SELL,XSP,656.0,C,2025-09-11,3.0,0.76,228.0,0.12,FILLED,O:XSP250911C00656000
HTML_3050020556002460413,2025-09-11 13:52:00,BUY,XSP,654.0,P,2025-09-11,6.0,0.57,-345.25,0.25,FILLED,O:XSP250911P00654000
HTML_7345955728238434246,2025-09-11 14:01:00,BUY,XSP,654.0,P,2025-09-11,4.0,0.4,-158.16,0.16,FILLED,O:XSP250911P00654000
HTML_9221693452282843074,2025-09-11 16:23:00,SELL,XSP,654.0,P,2025-09-11,10.0,0.1,100.0,0.1,FILLED,O:XSP250911P00654000
HTML_4113372038580067284,2025-09-12 13:45:00,BUY,XSP,660.0,C,2025-09-12,5.0,0.23,-112.71,0.21,FILLED,O:XSP250912C00660000
HTML_4506660684055462684,2025-09-12 13:45:00,BUY,XSP,657.0,P,2025-09-12,7.0,0.47,-332.8,0.3,FILLED,O:XSP250912P00657000
HTML_2994863783738663775,2025-09-12 13:46:00,BUY,XSP,657.0,P,2025-09-12,1.0,0.35,-35.54,0.04,FILLED,O:XSP250912P00657000
HTML_8612198650715732780,2025-09-12 15:47:00,SELL,XSP,657.0,P,2025-09-12,7.0,0.24,168.0,0.24,FILLED,O:XSP250912P00657000
HTML_45028221477225030,2025-09-12 15:47:00,SELL,XSP,660.0,C,2025-09-12,5.0,0.08,40.0,0.08,FILLED,O:XSP250912C00660000
HTML_3913956322629241303,2025-09-12 15:49:00,SELL,XSP,657.0,P,2025-09-12,1.0,0.22,22.0,0.04,FILLED,O:XSP250912P00657000
